Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: datafile.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label       Explanations
--------------------------------------------------------------------------------
   1- 16 A16    --      2MASS       2MASS identification for the star
  18- 19 I2     --      PlotID      Plot identification number
  21- 24 A4     --      DiskClass   Disk classification from Allen et al. (2012)
  26- 29 A4     --      HalphaProf  Halpha profile classification
  31- 35 F5.1   km/s    RedWidth    Ten percent maximum width redward of the line center
  37- 42 F6.1   km/s    BlueWidth   Ten percent maximum width blueward of the line center
  44- 49 F6.1   km/s    FWTPM       The Full Width of the Halpha line at ten percent of the line maximum
  51- 57 F7.4   km/s    UncFWTPM    Uncertainty in the Halpha Full Width at ten percent of the maximum
--------------------------------------------------------------------------------
22541116+6235541  1 III? I     88.3 -123.6  211.8  2.3000 
22540438+6235548  2 III  I    138.1 -136.1  274.2  8.3000 
22533489+6237007  3 III  I     30.9  -63.8   94.7  3.3000 
22564486+6237541  4 III  I     30.9  -51.3   82.2  2.9000 
22535395+6234504  5 III  I     42.8  -56.0   98.8  5.0000 
22551755+6245458  6 III  I     68.3 -113.6  181.9 17.1000 
22560030+6245029  7 III  I     35.9  -56.3   92.2  3.2000 
22565515+6245088  8 III  I     78.3 -101.2  179.4  9.5000 
22561924+6242528  9 III  I     45.9  -61.3  107.2 11.7000 
22565035+6242485 10 III  I     98.2  -86.2  184.4 20.9000 
22563127+6240588 11 III  I    120.7 -143.5  264.2 10.3000 
22535945+6235102 12 III  I     35.2  -62.1   97.3 13.7000 
22525102+6230436 13 III  I     62.6  -54.5  117.1  6.4000 
22550804+6244252 14 III  I     55.9  -96.2  152.0  5.0000 
22530628+6236326 15 II?  I     98.2 -121.1  219.3  8.0000 
22563527+6239074 16 III  I     63.3 -173.4  236.8  9.9000 
22564720+6237055 17 III  I     98.2 -166.0  264.2 21.6000 
22561343+6236452 18 III  I     30.9 -113.6  144.6  7.9000 
22545364+6234031 19 III  I     48.8 -119.5  168.3  6.2000 
22535527+6233218 20 III  I     53.7 -119.5  173.2  2.0000 
22532187+6234490 21 III  I     28.4 -113.6  142.1 11.1000 
22532653+6240134 22 III  I     55.9  -96.2  152.0  5.1000 
